repo_name,lexical_token,framework_frontend,framework_backend,languages_frontend,languages_backend,language_framework_details,domain_industry,commercial_usage_summary,security_scrubbing_confirmation,full_git_history,repo_rating_score,first_commit_date,last_commit_date,languages_percentage_bytes(>5%),frameworks_percentage_bytes(>5%),development_span_months,commits_per_month,unique_contributors,all_contributors_count,all_contributors,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available
beauty-parlour-demo,5634,React,,CSS|HTML|JavaScript,,code_imports:React,Unknown,Restrictive,Clean,True,2.71,2026-03-10,2026-03-14,JavaScript (55.6%) | CSS (40.0%),React (100.0%),0.1,80.0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
clear-energy-takehome,15371,React,,JavaScript|TypeScript,,package.json:react|code_imports:React,Unknown,Permissive,Clean,True,2.8,2026-07-08,2026-07-08,TypeScript (95.8%),React (97.8%),0.0,0 commits/mo,2,2,"yogeshintern, Yogesh Saini",1,0,1,1,True
code-repository-analyzer,39898,,,,Python,,Unknown,Restrictive,Clean,True,2.07,2026-09-09,2026-09-09,Python (100.0%),None Detected,0.0,0 commits/mo,2,2,"Yogesh Saini, yogesh-saini-data",3,0,3,3,True
Contact-list,1866,,,CSS|HTML|JavaScript,,,Unknown,Restrictive,Clean,True,1.96,2024-04-13,2024-07-26,JavaScript (61.1%) | CSS (21.1%) | HTML (17.8%),None Detected,3.4,4.4 commits/mo,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",0,0,0,0,True
Cpp-codes,155971,,,HTML,C|C++,,Unknown,Restrictive,Clean,True,5.3,2024-01-29,2025-08-29,HTML (67.4%) | C++ (29.3%),None Detected,19.0,1.6 commits/mo,2,4,"Yogesh Saini, yogesh saini, Saini-Yogesh, Yogesh Saini",0,0,0,0,True
Currency-Converter,1451,,,CSS|HTML|JavaScript,,,Unknown,Restrictive,Clean,True,1.35,2024-06-04,2024-06-05,JavaScript (56.2%) | HTML (23.3%) | CSS (20.5%),None Detected,0.0,0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
cursorIDE,2488,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,0.99,2025-09-04,2025-09-04,JavaScript (83.5%) | CSS (13.0%),React (86.5%) | Express (13.5%),0.0,0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
DataScope,68718,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,2.36,2026-07-08,2026-07-09,JavaScript (93.1%) | CSS (5.7%),React (92.6%),0.0,0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
E-Commerce-Store,40083,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,2.4,2024-12-27,2024-12-31,JavaScript (91.4%) | CSS (8.4%),React (94.3%),0.1,90.0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
ELD-Route-Planner,28805,React,Express,CSS|HTML|JavaScript,,"code_imports:React,Express",Unknown,Restrictive,Review Required (1),True,2.33,2026-07-19,2026-07-19,JavaScript (70.8%) | CSS (28.6%),React (86.7%) | Next.js (11.0%),0.0,0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
envkit,9202,,,JavaScript|TypeScript,,,Unknown,Restrictive,Clean,True,1.41,2026-09-09,2026-09-09,JavaScript (81.8%) | TypeScript (18.2%),None Detected,0.0,0 commits/mo,2,2,"Yogesh Saini, saini-yogesh",0,0,0,0,True
Expense-Tracker-Application,12403,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Review Required (2),True,2.76,2025-05-08,2026-01-25,JavaScript (78.8%) | CSS (16.9%),React (95.5%),8.6,2.2 commits/mo,2,3,"Yogesh Saini, Yogesh Saini, Saini-Yogesh",0,0,0,0,True
fibonacci-tree-visualizer,1957,React,,CSS|HTML|JavaScript,,package.json:react|code_imports:React,Unknown,Restrictive,Clean,True,1.4,2025-06-28,2025-06-29,JavaScript (68.4%) | HTML (17.3%) | CSS (14.3%),React (100.0%),0.0,0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
find-owner-off-job,363,,Express,JavaScript,,package.json:express|code_imports:Express,Unknown,Restrictive,Clean,True,1.48,2026-06-11,2026-07-10,JavaScript (100.0%),Express (100.0%),0.9,8.9 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
gym-website-demo,4537,React,,CSS|HTML|JavaScript,,code_imports:React,Unknown,Restrictive,Clean,True,2.68,2026-03-09,2026-03-14,JavaScript (53.5%) | CSS (41.1%) | HTML (5.4%),React (100.0%),0.2,45.0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
iNoteBook,8091,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Review Required (3),True,2.57,2024-06-24,2024-07-11,JavaScript (94.6%),React (57.5%) | Express (25.0%) | Next.js (17.5%),0.5,62.0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
JS,11380,,,CSS|HTML|JavaScript,C++,,Unknown,Restrictive,Clean,True,1.53,2024-05-28,2024-06-06,JavaScript (76.6%) | HTML (13.7%) | CSS (9.5%),Next.js (100.0%),0.3,23.3 commits/mo,2,4,"Saini-Yogesh, Saini-Yogesh0, Yogesh Saini, yogesh saini",0,0,0,0,True
LangHire,16799,,,,Python,,Unknown,Restrictive,Clean,True,1.22,2025-09-17,2025-09-17,Python (100.0%),Django (100.0%),0.0,0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
mens-salon-demo,7205,React,,CSS|HTML|JavaScript,,code_imports:React,Unknown,Restrictive,Clean,True,2.47,2026-03-11,2026-03-14,CSS (50.0%) | JavaScript (47.5%),React (82.9%) | Express (17.1%),0.1,40.0 commits/mo,1,1,Saini-Yogesh,0,0,0,0,True
Mini-ATM,1503,,,,C++,,Unknown,Restrictive,Clean,True,1.33,2024-04-14,2024-04-14,C++ (100.0%),None Detected,0.0,0 commits/mo,2,2,"Yogesh Saini, yogesh saini",0,0,0,0,True
Mongoose,4082,,Express,CSS|JavaScript,,package.json:express|code_imports:Express,Unknown,Restrictive,Review Required (4),True,1.86,2024-10-12,2024-10-21,JavaScript (95.2%),Express (63.7%) | Next.js (36.3%),0.3,116.7 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
Netflix_SQL_Project,1127,,,,,,Unknown,Restrictive,Clean,True,0.97,2025-08-29,2025-09-04,N/A,None Detected,0.2,15.0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
News-Monkey,3049,React,,HTML|JavaScript,,package.json:react|code_imports:React,Unknown,Restrictive,Review Required (1),True,1.93,2024-06-20,2024-10-16,JavaScript (84.9%) | HTML (15.1%),React (73.6%) | Next.js (26.4%),3.8,2.4 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
Next-app,2480,React,,CSS|JavaScript,,"package.json:react,next|code_imports:React,Next.js",Unknown,Restrictive,Clean,True,1.61,2024-10-05,2024-10-07,JavaScript (94.6%) | CSS (5.4%),Next.js (91.4%) | React (8.6%),0.1,210.0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",4,1,3,3,True
NodeJs,1007,,Express,JavaScript,,package.json:express,Unknown,Restrictive,Clean,True,1.33,2024-07-05,2024-07-11,JavaScript (100.0%),None Detected,0.2,15.0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
ParkNova,43803,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,3.68,2026-06-18,2026-06-21,JavaScript (86.4%) | CSS (12.1%),React (67.7%) | Next.js (27.9%),0.1,270.0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
Physioplan-Assignment,4153,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Review Required (1),True,1.49,2024-10-30,2024-10-30,JavaScript (73.1%) | CSS (18.1%) | HTML (8.8%),React (67.8%) | Express (32.2%),0.0,0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
Portfolio,16528,React,,CSS|HTML|JavaScript,,package.json:react|code_imports:React,Unknown,Restrictive,Clean,True,4.32,2024-07-07,2026-06-17,JavaScript (51.7%) | CSS (37.3%) | HTML (10.9%),React (62.8%) | Next.js (37.2%),23.3,2.3 commits/mo,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",0,0,0,0,True
Python,948,,,,Python,,Unknown,Restrictive,Clean,True,1.34,2025-07-23,2025-07-23,Python (100.0%),None Detected,0.0,0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
QR-Code-Maker,185,,,CSS|HTML|JavaScript,,,Unknown,Restrictive,Clean,True,1.54,2024-04-23,2024-06-05,CSS (54.7%) | HTML (22.8%) | JavaScript (22.5%),None Detected,1.4,5.0 commits/mo,2,3,"Yogesh Saini, Saini-Yogesh, yogesh saini",0,0,0,0,True
rajasthanconnect,157068,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,4.71,2026-06-25,2026-07-19,JavaScript (72.3%) | CSS (26.8%),React (91.8%),0.8,61.2 commits/mo,3,3,"Saini-Yogesh, Yogesh Saini, Vercel",1,0,1,1,True
reduxApp,1109,React,,CSS|HTML|JavaScript,,package.json:react|code_imports:React,Unknown,Restrictive,Clean,True,1.04,2024-07-02,2024-07-11,JavaScript (74.3%) | HTML (19.4%) | CSS (6.3%),React (100.0%),0.3,23.3 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
restaurant-website-demo,13076,React,,CSS|HTML|JavaScript,,code_imports:React,Unknown,Restrictive,Clean,True,3.16,2026-03-11,2026-06-03,JavaScript (56.8%) | CSS (40.5%),React (78.3%) | Next.js (21.7%),2.8,5.4 commits/mo,1,1,Saini-Yogesh,0,0,0,0,True
Resumes,0,,,,,,Unknown,Restrictive,Clean,True,1.91,2024-08-01,2025-08-03,N/A,None Detected,12.0,1.0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
Rock-Paper-Scissors-Game,716,,,CSS|HTML|JavaScript,,,Unknown,Restrictive,Clean,True,1.33,2024-06-02,2024-06-02,JavaScript (50.2%) | CSS (27.2%) | HTML (22.6%),None Detected,0.0,0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
Saini-Yogesh,0,,,,,,Unknown,Restrictive,Clean,True,2.01,2024-04-02,2026-09-02,N/A,None Detected,29.0,0.3 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
SAMS,6498,,,,C++,,Unknown,Restrictive,Review Required (1),True,1.99,2024-04-08,2024-08-11,C++ (100.0%),None Detected,4.1,1.5 commits/mo,2,4,"yogesh saini, Saini-Yogesh, Yogesh Saini, Yogesh Saini",0,0,0,0,True
SAMS-rough-work,13044,,,,C++,,Unknown,Restrictive,Review Required (3),True,1.57,2024-05-28,2024-05-28,C++ (100.0%),None Detected,0.0,0 commits/mo,2,2,"Yogesh Saini, yogesh saini",0,0,0,0,True
scroll-to-top-extension,306,,,JavaScript,,,Unknown,Restrictive,Clean,True,1.31,2025-08-13,2025-08-13,JavaScript (100.0%),None Detected,0.0,0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
Second-Brain,74533,React,,HTML|JavaScript,,code_imports:React,Unknown,Restrictive,Clean,True,5.47,2025-05-31,2026-09-03,JavaScript (97.9%),React (100.0%),15.1,7.1 commits/mo,15,15,"sohzm, Saini-Yogesh, barış, Yogesh Saini, soham, yogesh-saini-data, Aryan Sawhney, Bilgi Lovelace, Deep Santoshwar, M, ManojINaik, Sandeep Srinivasa, Sushil Bang, d333sh, jakob pl",4,0,4,3,True
segment-tree-visualization,43886,React,,CSS|JavaScript,C++,"package.json:react,next|code_imports:React,Next.js",Unknown,Restrictive,Clean,True,4.35,2025-02-08,2026-07-21,JavaScript (86.2%) | CSS (11.7%),Next.js (60.6%) | React (39.4%),17.3,2.7 commits/mo,3,4,"Yogesh Saini, Saini-Yogesh, Yogesh Saini, Vercel",3,0,3,3,True
Spotify-Data-Analysis-using-SQL,2510,,,,,,Unknown,Restrictive,Clean,True,1.5,2025-08-29,2026-01-09,N/A,None Detected,4.3,0.9 commits/mo,1,2,"Yogesh Saini, Saini-Yogesh",0,0,0,0,True
SQL-data-warehouse-project,12509,,,,,,Unknown,Restrictive,Clean,True,1.1,2025-10-21,2025-10-21,N/A,None Detected,0.0,0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
Telegram-AI-Chatbot,2496,,Express,JavaScript,,package.json:express,Unknown,Restrictive,Clean,True,1.4,2025-01-28,2025-01-30,JavaScript (100.0%),None Detected,0.1,70.0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
TextUtils,3112,React,,CSS|HTML|JavaScript,,package.json:react|code_imports:React,Unknown,Restrictive,Clean,True,1.22,2024-06-19,2024-07-11,JavaScript (88.2%) | HTML (9.2%),React (100.0%),0.7,17.1 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
Tic-Tac-Toe-game,917,,,CSS|HTML|JavaScript,,,Unknown,Restrictive,Clean,True,1.41,2024-06-02,2024-06-17,JavaScript (54.9%) | CSS (27.9%) | HTML (17.2%),None Detected,0.5,8.0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
Trip-connect,50242,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Review Required (3),True,4.74,2024-06-10,2026-07-13,JavaScript (72.9%) | CSS (26.2%),React (89.7%) | Express (6.0%),25.1,2.7 commits/mo,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",0,0,0,0,True
TripConnect-HTML-CSS,0,,,CSS|HTML,,,Unknown,Restrictive,Clean,True,1.79,2024-07-09,2024-07-09,HTML (61.0%) | CSS (39.0%),None Detected,0.0,0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
typescript,3335,,,HTML|JavaScript|TypeScript,,,Unknown,Restrictive,Clean,True,1.43,2025-05-13,2025-05-18,TypeScript (76.3%) | JavaScript (20.6%),React (100.0%),0.2,30.0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
WhatsApp-AI-Chatbot,27173,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,5.21,2025-03-28,2026-07-13,JavaScript (56.6%) | CSS (40.1%),React (83.6%) | Next.js (13.9%),15.5,5.0 commits/mo,5,6,"Saini-Yogesh, Yogesh Saini, Yogesh Saini, Sahil7811, Vercel, Ronak",7,0,7,7,True
